id,section,manuscript_label_or_location,claim_summary,action,new_value_or_note,reviewer_mapping_inferred
1,Abstract,line 58,"macro-F1 0.8159; IAD 0.7514, LMEP 0.7305, IMP 0.8115",replace,"ToN-IoT stacked RF-GCN macro-F1 0.309; Edge-IIoTset RF-alone macro-F1 0.615, stacked 0.165 -- see full abstract rewrite in DIFF.md 12.1",Statistical robustness / results integrity
2,Abstract,line 58,"impact forecasting ROC-AUC 0.9047 PR-AUC 0.4186 Capture@5%=0.6820",remove,"Impact forecasting is not evaluable on either real dataset (structural/temporal data limitation) -- see DIFF.md 12.1 for replacement sentence",Results integrity / reviewer request for validated numbers
3,Section 5.1 (dataset description),lines 508-512,"multi-modal ToN-IoT (IoT+network+Linux+Windows) is the evaluated data source",replace or rescope,"Validated pipeline uses network-flow-only ToN-IoT (11,536 instances, 104 features). Either implement multi-modal fusion before publishing, or rescope text to network-flow-only and move multi-modal to Future Work",Scope/generalization (inferred)
4,Table raw_modality_splits,lines 545-577,"7 IoT streams + network(23M flows) + 6 Linux + 2 Windows, unified N=759582",remove,replace with Table 12.6 (real dataset summary),Results integrity
5,Table summary_stats_from_logs,lines 599-652,"N=759582 F=310 modality/stage percentages top attack types graph 3M edges impact 236 assets",remove,replace with Table 12.6 (real dataset summary),Results integrity
6,Table graph_hparams_stats,lines 352-377,"F=310 |V|=759582 |E|=3036716 base-train/meta-train/test 379594/94899/285089",replace,"Real: F=104 (ToN-IoT)/175 (Edge-IIoTset); |V|=11536/142095; interaction edges=11555/17685; temporal edges=0/0; train/val/test 6922/2307/2307 and 68301/10804/62990",Results integrity
7,"Section 5.1.3 (Delta t selection)",line 363 / 806,"Delta t=60s selected on validation identities only (implies meaningful tuning)",soften,"Real window-sensitivity sweep (30/60/120/300s) shows IDENTICAL macro-F1 at every candidate -- no measurable effect; 60s retained as default, not selected via a meaningful search",Sensitivity analysis (inferred: reviewer asked for window-size sensitivity)
8,Table tab:main_4class_results_all,lines 976-1009,"RF .786 GCN .793 LateFusion .806 StackedRFGCN .816(best) XGB/LGBM .801 GRU .795 SAGE .800 GAT .804",replace,"See DIFF.md 12.2 -- real numbers for both datasets; Stacked RF-GCN is NOT best on either real dataset",Results integrity (central finding)
9,Section 6.1 narrative,lines 946-948; 960-972,"stacking achieves highest Macro-F1 / most balanced profile / largest gains on IAD IMP",soften/rewrite,"Real data shows GCN-alone (ToN-IoT) and RF-alone (Edge-IIoTset) outperform the stacked model; meta-learner ablation shows logistic-regression meta-learner is the likely cause, gradient boosting partially recovers Edge-IIoTset (0.308 single-seed)",Results integrity (central finding)
10,Table tab:ovr_combined,lines 1045-1060,"IAD P.393 R.539 F1.454 PRAUC.312; LMEP P.827 R.538 F1.652 PRAUC.701; IMP P.9998 R.154 F1.267 PRAUC.585",replace,"See DIFF.md 12.3 -- real ToN-IoT numbers are single-digit-count noise (n_pos=1/1/3); real Edge-IIoTset numbers (new, well-powered) promoted as primary",Results integrity
